oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,19758.1,3,1,121.0,231.0,1,2,100.0,192.0,1,3,64.0,139.0,1,3,125.6,270.1,2.1,CAM-2,64.0,139.0,34835.5,
WES,200.0,294.0,19816.9,3,1,166.0,250.0,1,2,129.0,216.0,1,3,127.0,199.0,1,3,73.8,168.5,2.3,MID-1,127.0,199.0,28670.9,
WES,200.0,294.0,19839.7,3,1,148.0,272.0,3,2,147.0,248.0,1,3,124.0,221.0,1,5,69.6,207.0,3.0,MID-2,124.0,221.0,28188.2,
WES,200.0,294.0,19935.0,3,1,170.0,273.0,1,2,99.0,192.0,1,3,104.0,180.0,1,3,94.4,197.5,2.1,MER-1,104.0,180.0,31262.9,
WES,200.0,294.0,20038.4,3,1,170.0,260.0,1,2,101.0,259.0,1,3,98.0,235.0,1,3,83.1,160.9,1.9,SOM-2,98.0,235.0,30013.0,
WES,200.0,294.0,20109.8,3,1,143.0,237.0,1,2,124.0,230.0,1,3,101.0,221.0,1,3,75.3,181.8,2.4,SOM-1,101.0,221.0,29149.9,
WES,200.0,294.0,20113.0,3,1,169.0,275.0,1,2,171.0,184.0,1,3,170.0,173.0,1,3,83.1,164.9,2.0,MON-1,170.0,173.0,30079.7,
WES,200.0,294.0,20130.2,3,1,167.0,252.0,1,2,94.0,207.0,1,3,64.0,140.0,1,3,127.5,237.6,1.9,CAM-3,64.0,140.0,35435.9,
WES,200.0,294.0,20151.9,3,1,168.0,250.0,1,2,164.0,242.0,1,3,105.0,230.0,1,3,74.1,139.3,1.9,SOM-1,105.0,230.0,29048.1,
WES,200.0,294.0,20180.6,3,1,144.0,286.0,1,2,133.0,279.0,1,3,125.0,267.0,1,3,50.4,123.0,2.4,MOR-2,125.0,267.0,26230.7,
