60.0, 73.0
60.0, 81.0
65.0, 80.0
39.0, 72.0
61.0, 68.0
67.0, 51.0
42.0, 78.0
40.0, 65.0
56.0, 69.0
73.0, 80.0
67.0, 57.0
60.0, 86.0
47.0, 77.0
36.0, 69.0
69.0, 76.0
62.0, 58.0
70.0, 88.0
63.0, 76.0
68.0, 84.0
43.0, 59.0
64.0, 63.0
44.0, 72.0
62.0, 52.0
41.0, 83.0
61.0, 47.0
65.0, 71.0
51.0, 79.0
35.0, 74.0
27.0, 67.0
32.0, 77.0
29.0, 81.0
50.0, 65.0
69.0, 45.0
46.0, 47.0
31.0, 88.0
41.0, 51.0
52.0, 73.0
47.0, 82.0
54.0, 51.0
58.0, 90.0
72.0, 64.0
48.0, 53.0
77.0, 72.0
47.0, 61.0
72.0, 73.0
77.0, 65.0
53.0, 62.0
29.0, 74.0
67.0, 67.0
45.0, 67.0
36.0, 57.0
48.0, 42.0
38.0, 86.0
35.0, 82.0
34.0, 65.0
57.0, 64.0
24.0, 74.0
32.0, 61.0
64.0, 41.0
75.0, 46.0
71.0, 49.0
31.0, 70.0
43.0, 87.0
37.0, 62.0
75.0, 76.0
26.0, 78.0
21.0, 70.0
49.0, 70.0
37.0, 78.0
72.0, 59.0
55.0, 76.0
52.0, 56.0
26.0, 85.0
