169.0, 162.0
126.0, 172.0
150.0, 165.0
152.0, 145.0
154.0, 149.0
139.0, 154.0
148.0, 92.0
166.0, 144.0
116.0, 161.0
156.0, 153.0
159.0, 148.0
135.0, 96.0
143.0, 112.0
155.0, 163.0
159.0, 166.0
141.0, 169.0
154.0, 131.0
147.0, 148.0
160.0, 158.0
157.0, 140.0
146.0, 108.0
146.0, 168.0
152.0, 158.0
147.0, 117.0
147.0, 157.0
164.0, 162.0
151.0, 120.0
133.0, 92.0
144.0, 151.0
140.0, 174.0
154.0, 103.0
135.0, 144.0
150.0, 153.0
144.0, 120.0
152.0, 137.0
145.0, 163.0
131.0, 172.0
152.0, 99.0
143.0, 105.0
138.0, 166.0
162.0, 118.0
132.0, 147.0
153.0, 125.0
163.0, 155.0
165.0, 139.0
144.0, 172.0
140.0, 146.0
134.0, 168.0
135.0, 161.0
140.0, 101.0
122.0, 167.0
141.0, 116.0
149.0, 105.0
142.0, 157.0
156.0, 135.0
123.0, 161.0
167.0, 151.0
162.0, 142.0
159.0, 111.0
136.0, 103.0
150.0, 129.0
138.0, 139.0
132.0, 141.0
138.0, 119.0
162.0, 169.0
130.0, 165.0
166.0, 158.0
126.0, 95.0
145.0, 87.0
137.0, 171.0
159.0, 132.0
118.0, 165.0
120.0, 158.0
132.0, 100.0
143.0, 137.0
157.0, 107.0
148.0, 135.0
136.0, 115.0
138.0, 93.0
132.0, 124.0
152.0, 115.0
132.0, 117.0
133.0, 152.0
144.0, 99.0
151.0, 110.0
146.0, 124.0
141.0, 123.0
129.0, 138.0
128.0, 151.0
135.0, 110.0
164.0, 129.0
