oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,117.0,69.0,17886.7,2,1,68.0,139.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,118.8,169.9,1.4,NOR,11.0,236.0,32139.4,
ATL,118.0,69.0,59026.5,3,1,77.0,119.0,1,2,66.0,121.0,1,3,11.0,236.0,1,3,122.0,201.9,1.7,NOR,11.0,236.0,73665.3,
ATL,114.0,70.0,17593.3,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,117.2,117.2,1.0,NOR,11.0,236.0,31659.1,
ATL,115.0,70.0,58443.9,3,1,84.0,102.0,1,2,59.0,114.0,1,3,11.0,236.0,1,3,122.0,187.0,1.5,NOR,11.0,236.0,73087.8,
ATL,117.0,70.0,58649.4,3,1,84.0,101.0,1,2,85.0,164.0,1,3,11.0,236.0,1,3,126.9,204.9,1.6,NOR,11.0,236.0,73879.8,
ATL,117.0,70.0,69328.9,3,1,79.0,113.0,1,2,41.0,113.0,1,3,11.0,236.0,1,3,133.2,205.0,1.5,NOR,11.0,236.0,85312.2,
ATL,110.0,72.0,58167.1,2,1,78.0,97.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,116.9,139.3,1.2,NOR,11.0,236.0,72200.9,
ATL,112.0,72.0,71427.0,3,1,117.0,75.0,1,2,122.0,80.0,2,3,11.0,236.0,1,4,122.6,134.4,1.1,NOR,11.0,236.0,86141.1,
ATL,119.0,72.0,65265.9,3,1,117.0,76.0,1,2,120.0,81.0,2,3,11.0,236.0,1,4,119.9,131.4,1.1,NOR,11.0,236.0,79650.9,
ATL,119.0,72.0,72940.8,3,1,106.0,73.0,3,2,116.0,161.0,1,3,11.0,236.0,1,5,138.4,194.7,1.4,NOR,11.0,236.0,89546.9,
ATL,119.0,72.0,73411.0,3,1,112.0,66.0,1,2,88.0,76.0,1,3,11.0,236.0,1,3,127.7,142.1,1.1,NOR,11.0,236.0,88731.4,
ATL,106.0,73.0,17481.7,3,1,74.0,143.0,1,2,71.0,140.0,1,3,11.0,236.0,1,3,116.7,204.7,1.8,NOR,11.0,236.0,31479.8,
