oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,109.0,59.0,59150.8,3,1,113.0,63.0,1,2,60.0,118.0,1,3,5.0,116.0,1,3,82.2,120.6,1.5,SOU,5.0,116.0,69020.1,
ATL,109.0,59.0,61511.6,3,1,65.0,82.0,1,2,62.0,79.0,1,3,5.0,116.0,1,3,73.1,131.6,1.8,SOU,5.0,116.0,70284.6,
ATL,109.0,59.0,65591.3,3,1,62.0,68.0,1,2,60.0,69.0,1,3,5.0,116.0,2,4,73.5,201.0,2.7,SOU,5.0,116.0,74406.8,
ATL,110.0,59.0,21227.6,1,1,5.0,116.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,71.7,71.7,1.0,SOU,5.0,116.0,29829.7,
ATL,110.0,59.0,69143.4,3,1,107.0,59.0,1,2,92.0,45.0,1,3,5.0,116.0,1,3,81.5,87.2,1.1,SOU,5.0,116.0,78921.9,
ATL,118.0,59.0,21171.0,1,1,5.0,116.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,75.9,75.9,1.0,SOU,5.0,116.0,30283.5,
ATL,118.0,59.0,58454.3,3,1,75.0,110.0,1,2,52.0,135.0,1,3,5.0,116.0,2,4,90.8,252.3,2.8,SOU,5.0,116.0,69353.3,
ATL,119.0,59.0,19992.1,1,1,5.0,116.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,76.5,76.5,1.0,SOU,5.0,116.0,29168.9,
ATL,119.0,59.0,58271.5,3,1,80.0,96.0,1,2,64.0,109.0,1,3,5.0,116.0,1,3,80.3,153.3,1.9,SOU,5.0,116.0,67904.3,
ATL,120.0,59.0,21138.2,1,1,5.0,116.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,77.0,154.0,2.0,SOU,5.0,116.0,30379.5,
ATL,120.0,59.0,61801.7,3,1,62.0,70.0,1,2,45.0,80.0,1,3,5.0,116.0,1,3,79.5,159.2,2.0,SOU,5.0,116.0,71346.9,
ATL,104.0,60.0,62018.4,3,1,94.0,95.0,1,2,63.0,113.0,1,3,5.0,116.0,1,3,78.2,130.3,1.7,SOU,5.0,116.0,71401.8,
ATL,110.0,60.0,63137.5,2,1,108.0,58.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,72.6,73.1,1.0,SOU,5.0,116.0,71852.1,
ATL,111.0,60.0,21750.6,2,1,60.0,73.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,73.5,103.5,1.4,SOU,5.0,116.0,30566.6,
ATL,111.0,60.0,22186.1,2,1,107.0,68.0,2,2,5.0,116.0,1,NA, NA, NA, NA,3,73.0,82.7,1.1,SOU,5.0,116.0,30946.6,
ATL,111.0,60.0,58473.9,3,1,57.0,98.0,1,2,43.0,129.0,1,3,5.0,116.0,1,3,84.1,169.7,2.0,SOU,5.0,116.0,68568.8,
ATL,118.0,60.0,21306.1,2,1,30.0,115.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,77.3,137.9,1.8,SOU,5.0,116.0,30579.3,
ATL,119.0,60.0,20917.2,2,1,48.0,115.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,79.7,130.1,1.6,SOU,5.0,116.0,30480.4,
ATL,119.0,60.0,22026.6,2,1,55.0,129.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,87.5,132.7,1.5,SOU,5.0,116.0,32522.3,
ATL,120.0,60.0,21261.2,3,1,89.0,96.0,1,2,58.0,130.0,1,3,5.0,116.0,1,3,89.0,161.4,1.8,SOU,5.0,116.0,31941.4,
ATL,120.0,60.0,21623.0,1,1,5.0,116.0,3,NA, NA, NA, NA,NA, NA, NA, NA,3,76.7,230.2,3.0,SOU,5.0,116.0,30832.5,
ATL,120.0,60.0,22005.9,3,1,83.0,104.0,1,2,55.0,126.0,1,3,5.0,116.0,1,3,86.5,166.8,1.9,SOU,5.0,116.0,32380.3,
ATL,121.0,60.0,20826.8,3,1,96.0,102.0,1,2,40.0,114.0,1,3,5.0,116.0,1,3,84.7,165.0,1.9,SOU,5.0,116.0,30993.6,
ATL,121.0,60.0,21249.8,2,1,52.0,113.0,1,2,5.0,116.0,3,NA, NA, NA, NA,4,80.5,284.1,3.5,SOU,5.0,116.0,30905.1,
ATL,121.0,60.0,21641.3,2,1,51.0,122.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,83.9,133.4,1.6,SOU,5.0,116.0,31714.1,
ATL,121.0,60.0,58270.9,3,1,65.0,77.0,1,2,42.0,76.0,1,3,5.0,116.0,1,3,81.6,160.8,2.0,SOU,5.0,116.0,68065.3,
ATL,121.0,60.0,59862.8,3,1,52.0,115.0,1,2,36.0,125.0,1,3,5.0,116.0,1,3,83.6,194.4,2.3,SOU,5.0,116.0,69898.6,
ATL,121.0,60.0,71892.5,2,1,62.0,75.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,78.7,113.8,1.4,SOU,5.0,116.0,81331.0,
ATL,104.0,61.0,22406.7,3,1,63.0,81.0,1,2,46.0,125.0,1,3,5.0,116.0,1,3,80.9,147.1,1.8,SOU,5.0,116.0,32109.7,
ATL,106.0,61.0,22832.9,1,1,5.0,116.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,69.0,69.0,1.0,SOU,5.0,116.0,31113.2,
ATL,111.0,61.0,68938.9,3,1,61.0,72.0,1,2,53.0,110.0,1,3,5.0,116.0,1,3,83.0,147.9,1.8,SOU,5.0,116.0,78903.8,
ATL,120.0,61.0,21193.3,2,1,60.0,133.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,90.8,132.7,1.5,SOU,5.0,116.0,32086.2,
ATL,122.0,61.0,20261.9,3,1,93.0,101.0,1,2,44.0,127.0,1,3,5.0,116.0,1,3,87.2,168.5,1.9,SOU,5.0,116.0,30730.6,
ATL,122.0,61.0,73446.0,2,1,68.0,85.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,77.6,113.0,1.5,SOU,5.0,116.0,82756.1,
ATL,123.0,61.0,21425.7,2,1,60.0,93.0,1,2,5.0,116.0,2,NA, NA, NA, NA,3,78.2,198.6,2.5,SOU,5.0,116.0,30805.6,
ATL,123.0,61.0,21865.0,3,1,114.0,65.0,1,2,51.0,122.0,2,3,5.0,116.0,2,5,84.7,275.4,3.3,SOU,5.0,116.0,32031.2,
ATL,124.0,61.0,21443.6,2,1,65.0,131.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,92.0,133.6,1.5,SOU,5.0,116.0,32488.0,
ATL,102.0,62.0,22314.1,1,1,5.0,116.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,66.6,133.2,2.0,SOU,5.0,116.0,30307.4,
ATL,104.0,62.0,22547.9,1,1,5.0,116.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,67.7,67.7,1.0,SOU,5.0,116.0,30667.3,
ATL,105.0,62.0,21001.1,3,1,92.0,101.0,1,2,84.0,105.0,1,3,5.0,116.0,1,3,77.9,121.6,1.6,SOU,5.0,116.0,30347.9,
ATL,111.0,62.0,21078.8,3,1,110.0,84.0,1,2,60.0,119.0,1,3,5.0,116.0,1,3,82.9,130.5,1.6,SOU,5.0,116.0,31024.7,
ATL,111.0,62.0,58179.2,3,1,108.0,67.0,1,2,73.0,125.0,1,3,5.0,116.0,1,3,85.3,119.0,1.4,SOU,5.0,116.0,68415.2,
